stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
Baegd741,,"GEROMPONT Avenue des Déportés 74",,  50.651957,   4.890238,6427,,0
Baegd742,,"GEROMPONT Avenue des Déportés 74",,  50.651979,   4.890100,6427,,0
Baegegl1,,"AUTRE-EGLISE Eglise",,  50.663006,   4.923742,6438,,0
Baegegl2,,"AUTRE-EGLISE Eglise",,  50.663072,   4.923668,6438,,0
Baeggar1,,"AUTRE-EGLISE Gare",,  50.663871,   4.918392,6438,,0
Baeggar2,,"AUTRE-EGLISE Gare",,  50.663952,   4.918374,6438,,0
Baegm501,,"AUTRE-EGLISE Rue de la Mêlée 50",,  50.659472,   4.909393,6427,,0
Baegm502,,"AUTRE-EGLISE Rue de la Mêlée 50",,  50.659817,   4.909815,6427,,0
Baegpon1,,"AUTRE-EGLISE Pont (Rue de la Gare)",,  50.655287,   4.898794,6427,,0
Baegpon2,,"AUTRE-EGLISE Pont (Rue de la Gare)",,  50.655417,   4.899320,6427,,0
Baegpon3,,"AUTRE-EGLISE Pont (Ch. Rowart)",,  50.654906,   4.897708,6427,,0
Baegpon4,,"AUTRE-EGLISE Pont (Ch. Rowart)",,  50.654849,   4.897877,6427,,0
Baisbar1,,"AISCHE-EN-REFAIL Baraque",,  50.598664,   4.823755,4519,,0
Balsbeg1,,"ALSEMBERG Begraafplaats van Vorst",,  50.755765,   4.332129,6261,,0
Balsbeg2,,"ALSEMBERG Begraafplaats van Vorst",,  50.756340,   4.331835,6261,,0
Balsnay1,,"ALSEMBERG Gensberg",,  50.746639,   4.332376,6261,,0
Balsnay2,,"ALSEMBERG Gensberg",,  50.746507,   4.332114,6261,,0
Balsnie1,,"ALSEMBERG Grootevelde",,  50.749510,   4.333963,6261,,0
Balsnie2,,"ALSEMBERG Grootevelde",,  50.749572,   4.333816,6261,,0
Balssvi1,,"ALSEMBERG Sint-Victor",,  50.741780,   4.334454,6261,,0
Balssvi2,,"ALSEMBERG Sint-Victor",,  50.741700,   4.334437,6261,,0
Balswin2,,"ALSEMBERG Winderickxplein",,  50.739697,   4.337933,6222,,0
Balswin3,,"ALSEMBERG Winderickxplein",,  50.739739,   4.338127,6222,,0
Balswsa1,,"ALSEMBERG Rondenbos",,  50.751617,   4.333343,6261,,0
Balswsa2,,"ALSEMBERG Rondenbos",,  50.751610,   4.333215,6261,,0
Barcast1,,"ARCHENNES Ancienne Station",,  50.747806,   4.691680,6456,,0
Barcast2,,"ARCHENNES Ancienne Station",,  50.747729,   4.691642,6456,,0
Barcbav1,,"ARCHENNES Bavay",,  50.749926,   4.686037,6456,,0
Barcbav2,,"ARCHENNES Bavay",,  50.749856,   4.685973,6456,,0
Barchez1,,"ARCHENNES Hézidelle",,  50.753358,   4.666983,6456,,0
Barchez2,,"ARCHENNES Hézidelle",,  50.753238,   4.667087,6456,,0
Barchoc1,,"ARCHENNES Hocaille",,  50.751482,   4.672244,6456,,0
Barchoc2,,"ARCHENNES Hocaille",,  50.751400,   4.672246,6456,,0
Barcpre1,,"ARCHENNES Préval",,  50.751069,   4.680098,6456,,0
Barcpre2,,"ARCHENNES Préval",,  50.750923,   4.680298,6456,,0
Barcsta1,,"ARCHENNES Station",,  50.754408,   4.662788,6456,,0
Barcsta2,,"ARCHENNES Station",,  50.754332,   4.662745,6456,,0
Barqbar1,,"ARQUENNES Bois d'Arpes",,  50.578466,   4.295791,6150,,0
Barqbar2,,"ARQUENNES Bois d'Arpes",,  50.578529,   4.296069,6150,,0
Barqbco1,,"ARQUENNES Bon Conseil",,  50.571325,   4.283131,6150,,0
Barqbco2,,"ARQUENNES Bon Conseil",,  50.571563,   4.284425,6150,,0
Barqhpe1,,"ARQUENNES Hameau Petit",,  50.572695,   4.289281,6150,,0
Barqhpe2,,"ARQUENNES Hameau Petit",,  50.572598,   4.289478,6150,,0
Barqhro1,,"ARQUENNES Hameau Roland",,  50.560840,   4.278228,6150,,0
Barqhro2,,"ARQUENNES Hameau Roland",,  50.561444,   4.278900,6150,,0
Barqhro4,,"ARQUENNES Hameau Roland",,  50.561425,   4.277202,6150,,0
Barqpla1,,"ARQUENNES Place",,  50.567303,   4.274677,6150,,0
Barqpla2,,"ARQUENNES Place",,  50.567263,   4.274804,6150,,0
Barqpwa1,,"ARQUENNES Pont de Warchais",,  50.566122,   4.282080,6150,,0
